,id,neo_reference_id,name,nasa_jpl_url,absolute_magnitude_h,is_potentially_hazardous_asteroid,is_sentry_object,estimated_diameter_max_ft,estimated_diameter_min_ft,close_approach_date,miss_distance_miles,relative_velocity_mph
0,2216523,2216523,216523 (2001 HY7),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2216523,20.6,True,False,1479.1936371367,661.5155049046,2022-01-07,36075310.451442619,29106.9338404034
1,2494697,2494697,494697 (2004 SW55),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2494697,20.78,True,False,1361.5231498425,608.8916631975,2022-01-07,12444054.8118889614,22475.9232168112
2,2496860,2496860,496860 (1999 XL136),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2496860,19.57,True,False,2376.9772767092,1063.0165543388,2022-01-07,8323947.209883772,37495.8843303542
3,3311963,3311963,(2006 AL4),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3311963,24.92,False,False,202.313577615,90.4773824637,2022-01-07,8847830.887747588,21156.510880133
4,3401388,3401388,(2008 CO),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3401388,22.6,False,False,588.8775935812,263.3540659348,2022-01-07,19221975.0369339558,9986.7867515025
5,3565474,3565474,(2011 JR13),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3565474,19.5,True,False,2454.8503937571,1097.8424710066,2022-01-07,34786398.7519252308,55907.2666062956
6,3827355,3827355,(2018 RH3),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3827355,26.1,False,False,117.4965270602,52.5460443254,2022-01-07,23709925.2815278714,36311.9004877235
7,3976533,3976533,(2020 AP1),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3976533,29.6,False,False,23.4436392583,10.4843142043,2022-01-07,1083548.4437168268,12642.4983098461
8,54191244,54191244,(2021 QC3),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=54191244,24.24,False,False,276.7101119134,123.74852406,2022-01-07,37897679.8306539544,18170.0732155503
9,54235405,54235405,(2022 AF),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=54235405,23.57,False,False,376.7255104491,168.4767700445,2022-01-07,5773223.2913368204,21815.4206863714
10,54235666,54235666,(2022 AR2),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=54235666,27.66,False,False,57.2829044301,25.6176936508,2022-01-07,401339.0813692142,25954.653399898
11,54236614,54236614,(2022 AZ5),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=54236614,22.85,False,False,524.8377077252,234.7145583258,2022-01-07,20401251.080056413,4152.581693527
12,54245585,54245585,(2022 CV2),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=54245585,22.99,False,False,492.0678945652,220.0594523586,2022-01-07,11593428.417689128,19724.6000113259
13,54245818,54245818,(2022 CO3),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=54245818,25.739,False,False,138.7474563613,62.0497488258,2022-01-07,6581607.6949558484,9692.5938570272
14,54246945,54246945,(2022 CN6),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=54246945,23.665,False,False,360.5994251074,161.2649654375,2022-01-07,7980543.7269797954,22033.9871904055
15,54247545,54247545,(2016 FH60),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=54247545,22.99,False,False,492.0678945652,220.0594523586,2022-01-07,11594063.8728745246,19725.0068939734
16,3313974,3313974,(2006 BV39),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3313974,29.1,False,False,29.5137932072,13.198969577,2022-01-03,45798932.4782096842,50865.239055435
17,3366282,3366282,(2007 BD),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3366282,25.4,False,False,162.1903570994,72.5337327539,2022-01-03,35067450.8451645846,43230.8014733693
18,3986680,3986680,(2020 AL3),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3986680,26.2,False,False,112.2083122258,50.1810827555,2022-01-03,31550050.9254088686,51960.8571727975
